City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
88,Yantal,56.8471,105.2542,253.9,99,100,1.13,RU,2023-02-10 21:01:20
89,Atuona,-9.8,-139.0333,299.17,77,5,7.3,PF,2023-02-10 21:01:21
90,Kuala Terengganu,5.3302,103.1408,299.12,89,20,2.24,MY,2023-02-10 21:01:22
91,Upernavik,72.7868,-56.1549,246.39,93,100,4.07,GL,2023-02-10 21:01:23
92,Nanao,37.05,136.9667,276.64,81,100,3.07,JP,2023-02-10 21:01:23
93,Chapais,49.7834,-74.8492,263.03,90,100,3.65,CA,2023-02-10 21:02:24
94,Comodoro Rivadavia,-45.8667,-67.5,302.07,14,0,10.29,AR,2023-02-10 20:59:01
95,Eydhafushi,5.1033,73.0708,299.9,72,76,3.32,MV,2023-02-10 21:02:25
96,Constitucion,-35.3333,-72.4167,294.31,58,17,9.18,CL,2023-02-10 21:02:26
97,Champerico,14.3,-91.9167,306.45,64,2,5.91,GT,2023-02-10 21:02:26
98,Lagoa,39.05,-27.9833,287.13,73,0,3.4,PT,2023-02-10 21:02:27
99,Kapaa,22.0752,-159.319,296.54,80,63,2.68,US,2023-02-10 21:02:28
100,Guerrero Negro,27.9769,-114.0611,297.01,15,100,2.31,MX,2023-02-10 21:02:29
101,Sao Gabriel Da Cachoeira,-0.1303,-67.0892,300.35,89,86,0.54,BR,2023-02-10 21:02:29
102,Port Blair,11.6667,92.75,298.17,83,13,1.54,IN,2023-02-10 21:02:31
103,Chambersburg,39.9376,-77.6611,284.37,60,35,4.47,US,2023-02-10 21:00:19
104,San Andres,12.5847,-81.7006,303.16,62,20,7.72,CO,2023-02-10 21:02:32
105,Ukiah,39.1502,-123.2078,287.84,69,100,5.14,US,2023-02-10 21:02:32
106,Bredasdorp,-34.5322,20.0403,294.1,77,0,5.13,ZA,2023-02-10 21:02:33
107,Irtyshskiy,58.3333,68.1333,257.87,96,70,3.86,RU,2023-02-10 21:02:34
108,Rio Grande,-32.035,-52.0986,307.21,67,0,7.62,BR,2023-02-10 21:02:35
109,Nikolskoye,59.7035,30.7861,272.09,78,74,6.78,RU,2023-02-10 21:02:35
110,Ocampo,21.65,-101.5,294.45,18,4,3.92,MX,2023-02-10 21:02:36
111,Sita Road,27.0333,67.85,291.84,27,1,4.21,PK,2023-02-10 21:02:37
112,San Cristobal,7.7669,-72.225,296.25,57,95,2.4,VE,2023-02-10 21:02:37
113,Terre-De-Bas,15.8501,-61.6442,299.88,73,5,9.8,GP,2023-02-10 21:02:38
114,Geraldton,-28.7667,114.6,290.38,88,0,4.12,AU,2023-02-10 21:02:39
115,Smithers,54.7804,-127.1743,274.33,100,20,1.03,CA,2023-02-10 21:02:39
116,East London,-33.0153,27.9116,295.15,83,100,3.44,ZA,2023-02-10 21:00:34
117,Narsaq,60.9167,-46.05,269.27,93,81,1.78,GL,2023-02-10 21:02:40
118,Tuatapere,-46.1333,167.6833,287.93,64,49,1.59,NZ,2023-02-10 20:54:08
119,Hilo,19.7297,-155.09,296.83,86,86,2.68,US,2023-02-10 21:00:13
120,Kaura Namoda,12.5898,6.5779,297.51,10,4,4.59,NG,2023-02-10 21:02:41
121,Longyearbyen,78.2186,15.6401,266.06,86,100,5.14,SJ,2023-02-10 20:52:53
122,San Quintin,30.4833,-115.95,292.48,27,69,2.66,MX,2023-02-10 21:02:42
123,Camacha,33.0833,-16.3333,287.83,77,40,7.72,PT,2023-02-10 21:02:42
124,Esperance,-33.8667,121.9,291.73,72,77,6.77,AU,2023-02-10 21:02:43
125,Amuntai,-2.4177,115.2494,295.84,97,99,0.8,ID,2023-02-10 21:02:43
126,New Norfolk,-42.7826,147.0587,289.87,75,44,0.23,AU,2023-02-10 21:02:44
127,Coihaique,-45.5752,-72.0662,290.12,55,75,6.17,CL,2023-02-10 21:02:44
128,Nanortalik,60.1432,-45.2371,266.81,67,100,9.09,GL,2023-02-10 21:02:45
129,Port Alfred,-33.5906,26.891,294.92,90,88,5.14,ZA,2023-02-10 21:02:45
130,Nishihara,26.1842,127.7558,290.75,82,94,3.6,JP,2023-02-10 20:54:14
131,Parakai,-36.65,174.4333,295.22,73,100,6.36,NZ,2023-02-10 21:02:46
132,Ponta Do Sol,32.6667,-17.1,288.71,83,100,5.33,PT,2023-02-10 21:02:46
133,Labytnangi,66.6572,66.4183,260.95,96,80,2.53,RU,2023-02-10 21:02:47
134,Pirassununga,-21.9961,-47.4258,298.96,69,75,2.57,BR,2023-02-10 21:02:47
135,Hasaki,35.7333,140.8333,276.37,67,77,10.44,JP,2023-02-10 21:02:48
136,Rio Bananal,-19.265,-40.3333,299.2,71,22,3.76,BR,2023-02-10 21:02:49
137,Hambantota,6.1241,81.1185,297.26,78,100,7.32,LK,2023-02-10 21:02:50
138,Bambous Virieux,-20.3428,57.7575,299.94,73,20,4.12,MU,2023-02-10 21:02:50
139,Khandyga,62.6667,135.6,225.43,100,71,0.88,RU,2023-02-10 21:03:51
140,Airai,-8.9266,125.4092,288.75,95,97,1.22,TL,2023-02-10 21:03:51
141,Khipro,25.8285,69.3772,292.14,64,0,3.42,PK,2023-02-10 21:03:52
142,Poquoson,37.1224,-76.3458,293.28,59,0,4.63,US,2023-02-10 21:03:52
143,Yerkoy,39.6381,34.4672,265.23,92,46,0.37,TR,2023-02-10 21:03:52
144,Hervey Bay,-25.2986,152.8535,295.58,79,0,4.18,AU,2023-02-10 21:03:53
145,At-Bashi,41.1702,75.8106,259.01,97,100,0.26,KG,2023-02-10 21:03:53
146,Zelenokumsk,44.4069,43.8806,260.4,100,93,1.55,RU,2023-02-10 21:03:54
147,Pevek,69.7008,170.3133,240.92,94,100,2.8,RU,2023-02-10 21:03:54
148,Ostrovnoy,68.0531,39.5131,269.42,92,100,1.45,RU,2023-02-10 21:03:55
149,Sao Joao Da Barra,-21.6403,-41.0511,300.2,87,4,7.09,BR,2023-02-10 21:03:55
150,Leningradskiy,69.3833,178.4167,243.5,97,100,4.95,RU,2023-02-10 21:03:55
151,Lauria,40.0465,15.8358,274.58,83,98,3.57,IT,2023-02-10 21:03:56
152,Vestmannaeyjar,63.4427,-20.2734,279.33,80,100,9.2,IS,2023-02-10 21:03:56
153,Chokurdakh,70.6333,147.9167,226.7,100,74,2.19,RU,2023-02-10 21:03:56
154,Bathsheba,13.2167,-59.5167,300.49,65,20,10.29,BB,2023-02-10 21:03:57
155,Jinchang,38.4953,102.1739,272.0,51,15,4.35,CN,2023-02-10 21:03:57
156,Lompoc,34.6391,-120.4579,297.98,69,100,4.92,US,2023-02-10 21:03:58
157,Komsomolskiy,40.4272,71.7189,271.55,64,75,3.09,UZ,2023-02-10 21:03:58
158,Torbay,47.6666,-52.7314,267.36,82,100,3.6,CA,2023-02-10 21:03:59
159,Cabra,37.4725,-4.4421,279.11,63,87,1.43,ES,2023-02-10 21:02:03
160,Lebu,-37.6167,-73.65,290.94,69,1,6.23,CL,2023-02-10 21:03:59
161,Cape Town,-33.9258,18.4232,299.77,52,0,4.92,ZA,2023-02-10 21:01:36
162,Khatanga,71.9667,102.5,238.1,92,23,4.04,RU,2023-02-10 21:04:00
163,Mwinilunga,-11.7358,24.4293,290.27,96,100,1.22,ZM,2023-02-10 21:04:00
164,Ahvaz,31.3203,48.6693,284.12,50,40,3.09,IR,2023-02-10 21:00:14
165,Dauriya,49.9333,116.8667,251.02,100,95,1.08,RU,2023-02-10 21:04:01
166,Skibbereen,51.55,-9.2667,283.21,94,100,4.21,IE,2023-02-10 21:04:01
167,Thinadhoo,0.5333,72.9333,300.6,68,60,5.72,MV,2023-02-10 21:04:02
168,Karratha,-20.7377,116.8463,302.14,71,52,6.56,AU,2023-02-10 21:04:03
169,Banda Aceh,5.5577,95.3222,298.36,80,100,2.21,ID,2023-02-10 20:55:31
170,Hobyo,5.3505,48.5268,297.84,70,89,9.53,SO,2023-02-10 21:04:03
171,Yellowknife,62.456,-114.3525,253.46,84,100,4.12,CA,2023-02-10 21:04:04
172,Bambanglipuro,-7.95,110.2833,297.29,91,98,2.08,ID,2023-02-10 21:04:05
173,Kemijarvi,66.7131,27.4306,256.12,98,19,2.02,FI,2023-02-10 21:04:05
174,Bethel,41.3712,-73.414,285.61,50,7,1.34,US,2023-02-10 21:01:38
175,Bara,10.3744,10.7288,298.16,13,0,3.8,NG,2023-02-10 20:55:30
176,Dikson,73.5069,80.5464,261.12,94,100,6.81,RU,2023-02-10 21:04:06
177,Kruisfontein,-34.0033,24.7314,291.04,88,0,3.02,ZA,2023-02-10 20:55:22
178,Soyo,-6.1349,12.3689,299.67,79,18,3.3,AO,2023-02-10 21:04:07
179,Olds,51.7834,-114.102,279.73,31,0,9.77,CA,2023-02-10 21:00:22
180,El Fuerte,26.4189,-108.6194,303.75,8,100,1.33,MX,2023-02-10 21:04:08
181,Santo Tomas,14.1079,121.1414,297.87,94,72,2.33,PH,2023-02-10 21:04:08
182,Sakakah,29.9697,40.2064,281.91,37,0,7.01,SA,2023-02-10 21:02:39
183,Saint-Pierre,-21.3393,55.4781,299.97,61,100,2.06,RE,2023-02-10 21:04:09
184,Puerto Carreno,6.189,-67.4859,307.14,43,40,7.2,CO,2023-02-10 21:04:09
185,Santa Rosa,14.3122,121.1114,298.72,77,74,3.52,PH,2023-02-10 21:04:11
186,Barrow,71.2906,-156.7887,251.16,84,100,5.66,US,2023-02-10 21:05:11
187,Lovington,32.944,-103.3485,279.28,34,5,2.68,US,2023-02-10 21:05:12
188,Conceicao Das Alagoas,-19.9147,-48.3883,298.03,85,100,1.27,BR,2023-02-10 21:05:12
189,Tabat,-2.635,115.2274,295.72,98,95,0.53,ID,2023-02-10 21:05:13
190,Namibe,-15.1961,12.1522,295.01,78,90,2.06,AO,2023-02-10 21:05:14
191,Carnarvon,-24.8667,113.6333,297.26,68,7,9.98,AU,2023-02-10 21:05:14
192,Kon Tum,14.35,108.0,290.73,95,32,0.85,VN,2023-02-10 21:05:15
193,Saint-Augustin,51.226,-58.6502,260.83,80,100,2.55,CA,2023-02-10 21:05:15
194,Shakiso,5.75,38.9167,288.69,44,5,1.91,ET,2023-02-10 21:05:16
195,Verkhoyansk,67.5447,133.385,223.45,100,85,0.66,RU,2023-02-10 21:05:17
196,Okha,53.5739,142.9478,241.67,99,22,2.26,RU,2023-02-10 21:05:17
197,Yatou,37.15,122.3833,274.73,88,100,1.79,CN,2023-02-10 21:05:18
198,Ust-Tsilma,65.441,52.1498,269.06,89,100,4.45,RU,2023-02-10 21:05:18
199,Urengoy,65.9667,78.3667,263.5,94,100,6.37,RU,2023-02-10 21:05:19
200,Jiangyou,31.7667,104.7167,282.88,77,100,0.74,CN,2023-02-10 21:05:20
201,Salalah,17.0151,54.0924,299.2,24,0,6.17,OM,2023-02-10 21:05:20
202,Mareeba,-17.0,145.4333,295.62,94,100,0.99,AU,2023-02-10 21:05:21
203,Athens,37.9795,23.7162,280.47,66,75,4.47,GR,2023-02-10 21:01:03
204,Anadyr,64.75,177.4833,241.43,68,20,5.0,RU,2023-02-10 21:05:22
205,Tashtyp,52.7939,89.8983,251.04,100,54,1.33,RU,2023-02-10 21:05:22
206,Vao,-22.6667,167.4833,299.24,90,100,17.84,NC,2023-02-10 21:05:23
207,Te Anau,-45.4167,167.7167,285.74,70,22,0.14,NZ,2023-02-10 21:05:23
208,Petropavlovsk-Kamchatskiy,53.0452,158.6483,254.48,65,40,3.0,RU,2023-02-10 21:05:24
209,Chimbote,-9.0853,-78.5783,297.75,74,32,4.6,PE,2023-02-10 21:00:34
