City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
158,Caravelas,BR,-17.7125,-39.2481,302.07,61,100,4.07,overcast clouds
159,Port Moresby,PG,-9.4431,147.1797,296.83,94,40,2.57,scattered clouds
160,Kwinana,AU,-32.25,115.7667,293.9,86,100,3.98,overcast clouds
161,Udachnyy,RU,66.4167,112.4,250.62,83,100,1.18,overcast clouds
162,Pevek,RU,69.7008,170.3133,232.48,100,100,3.13,overcast clouds
163,Karaton,ID,-6.3424,106.1045,295.85,95,91,2.26,overcast clouds
164,Alofi,NU,-19.0595,-169.9187,296.09,100,100,2.06,moderate rain
165,Manoharpur,IN,27.3,75.95,289.25,20,1,2.15,clear sky
166,San Matias,BO,-16.3667,-58.4,307.23,47,82,4.09,broken clouds
167,Bethel,US,41.3712,-73.414,285.02,35,0,5.14,clear sky
168,Abu Samrah,SY,35.3029,37.1841,277.99,61,13,3.06,few clouds
169,Port Lincoln,AU,-34.7333,135.8667,292.82,73,7,4.57,clear sky
170,Bathsheba,BB,13.2167,-59.5167,301.49,69,40,9.26,scattered clouds
171,Maceio,BR,-9.6658,-35.7353,303.84,62,40,5.66,scattered clouds
172,Catamarca,AR,-28.4696,-65.7852,308.58,41,8,2.68,clear sky
173,Saldanha,ZA,-33.0117,17.9442,294.18,87,0,9.84,clear sky
174,Homer,US,59.6425,-151.5483,272.09,69,100,6.69,light snow
175,Hornepayne,CA,49.2138,-84.7705,274.95,100,98,4.94,overcast clouds
176,Kahului,US,20.8947,-156.47,296.4,84,40,4.47,light rain
177,Oranjemund,NA,-28.55,16.4333,291.6,97,59,5.0,broken clouds
178,Opaka,BG,43.45,26.1667,275.29,80,3,2.59,clear sky
179,Tongren,CN,27.7172,109.1853,277.77,83,28,1.79,scattered clouds
180,Ucluelet,CA,48.9329,-125.5528,276.32,83,4,0.51,clear sky
181,Wuwei,CN,37.9281,102.6414,266.61,81,4,1.76,clear sky
182,Klaksvik,FO,62.2266,-6.589,281.66,96,100,14.19,light rain
183,Huarmey,PE,-10.0681,-78.1522,298.33,77,100,4.19,overcast clouds
184,Kanungu,UG,-0.9575,29.7897,292.41,44,5,2.21,clear sky
185,Nemuro,JP,43.3236,145.575,261.93,77,33,9.38,scattered clouds
186,Marsh Harbour,BS,26.5412,-77.0636,294.96,60,1,5.28,clear sky
187,Baripada,IN,21.935,86.7214,291.3,33,0,1.28,clear sky
188,Puerto Escondido,MX,15.85,-97.0667,303.61,62,20,4.12,few clouds
189,Teluk Nibung,ID,3.001,99.8164,296.8,93,100,3.17,overcast clouds
190,Fortuna,US,40.5982,-124.1573,279.34,88,100,2.57,overcast clouds
191,Castro,BR,-24.7911,-50.0119,294.94,92,100,4.3,overcast clouds
192,Ranong,TH,9.9658,98.6348,296.65,86,4,1.62,clear sky
193,Balgazyn,RU,51.0,95.2,247.38,99,69,0.9,broken clouds
194,Cayenne,GF,4.9333,-52.3333,299.17,94,100,3.09,overcast clouds
195,Salalah,OM,17.0151,54.0924,297.2,73,20,1.54,few clouds
196,Banff,CA,51.1762,-115.5698,265.36,62,86,2.06,overcast clouds
197,Tuatapere,NZ,-46.1333,167.6833,288.26,92,100,0.37,overcast clouds
198,Saint Anthony,US,45.0205,-93.218,276.99,91,100,6.17,moderate rain
199,Ponta Delgada,PT,37.7333,-25.6667,287.55,54,20,3.09,few clouds
200,Puerto Ayora,EC,-0.7393,-90.3518,303.13,84,68,1.79,light rain
201,Moerai,PF,-22.4333,-151.3333,299.79,75,99,0.69,overcast clouds
202,Saskylakh,RU,71.9167,114.0833,255.89,96,100,2.28,overcast clouds
203,Avera,US,33.194,-82.5271,294.57,40,34,3.53,scattered clouds
204,El Ejido,ES,36.7763,-2.8146,288.01,66,99,4.79,overcast clouds
205,Woodward,US,36.4337,-99.3904,286.72,47,40,9.77,scattered clouds
206,Shatsk,RU,54.0258,41.7119,266.78,95,100,4.86,overcast clouds
207,Ancud,CL,-41.8697,-73.8203,287.19,89,100,5.52,light rain
208,Bara,NG,10.3744,10.7288,297.84,21,94,3.85,overcast clouds
209,Bengkulu,ID,-3.8004,102.2655,296.94,91,100,2.54,overcast clouds
210,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,301.59,61,100,3.54,overcast clouds
211,Oudtshoorn,ZA,-33.5907,22.2014,294.35,73,48,3.63,scattered clouds
212,Vysokogornyy,RU,50.1167,139.15,243.24,100,77,1.34,broken clouds
213,Oussouye,SN,12.485,-16.5469,298.96,50,25,6.59,scattered clouds
214,Esperance,AU,-33.8667,121.9,290.65,85,97,3.77,overcast clouds
215,La Algaba,ES,37.4637,-6.0129,290.25,63,0,1.54,clear sky
216,Saint-Philippe,RE,-21.3585,55.7679,299.92,84,95,6.06,light rain
217,Torremolinos,ES,36.6204,-4.4998,288.36,73,20,5.14,few clouds
218,Fort Nelson,CA,58.8053,-122.7002,256.45,64,75,1.03,broken clouds
219,New Iberia,US,30.0035,-91.8187,295.19,73,100,5.66,overcast clouds
220,Nuuk,GL,64.1835,-51.7216,258.49,72,40,5.66,scattered clouds
221,Grass Valley,US,39.2191,-121.0611,279.59,29,75,4.12,broken clouds
222,Provideniya,RU,64.3833,-173.3,246.8,94,97,2.08,overcast clouds
223,Sarkand,KZ,45.41,79.9186,265.52,69,4,3.65,clear sky
224,Verkhnetulomskiy,RU,68.6073,31.7962,271.22,97,100,2.6,snow
225,Vila Franca Do Campo,PT,37.7167,-25.4333,287.38,63,98,3.09,overcast clouds
226,Villa Corzo,MX,16.1667,-93.25,305.75,25,0,2.45,clear sky
227,Ngunguru,NZ,-35.6167,174.5,291.3,81,8,6.26,clear sky
228,Sao Joao Da Barra,BR,-21.6403,-41.0511,304.2,85,92,7.57,overcast clouds
229,Killarney,IE,52.05,-9.5167,284.18,87,20,3.09,few clouds
230,Harindanga,IN,22.0383,88.3214,291.98,63,0,2.13,clear sky
231,Bambous Virieux,MU,-20.3428,57.7575,299.38,78,40,4.12,scattered clouds
232,Namwala,ZM,-15.7504,26.4384,293.21,94,100,1.98,overcast clouds
233,Mehamn,NO,71.0357,27.8492,278.12,93,75,8.75,light rain
234,Strezhevoy,RU,60.7333,77.5889,257.85,96,100,3.23,overcast clouds
235,Shenzhen,CN,22.5455,114.0683,289.34,75,99,5.43,overcast clouds
236,Tessalit,ML,20.1986,1.0114,299.12,16,100,4.8,overcast clouds
237,Port Hardy,CA,50.6996,-127.4199,275.25,75,20,3.09,few clouds
238,Tynda,RU,55.1667,124.7167,238.91,100,14,0.9,few clouds
239,Padang,ID,-0.9492,100.3543,297.18,85,91,1.48,moderate rain
240,Umm Lajj,SA,25.0213,37.2685,291.84,56,0,4.49,clear sky
241,Atasu,KZ,48.6814,71.6433,251.54,93,71,2.31,broken clouds
242,Kenai,US,60.5544,-151.2583,264.9,88,100,7.2,light snow
243,Blitar,ID,-8.0983,112.1681,295.53,95,100,0.25,light rain
244,Laguna,US,38.421,-121.4238,284.31,36,20,8.23,few clouds
245,Loa Janan,ID,-0.583,117.095,295.69,99,100,0.68,light rain
246,Key West,US,24.5557,-81.7826,305.15,39,0,5.14,clear sky
247,Mar Del Plata,AR,-38.0023,-57.5575,295.9,46,0,4.63,clear sky
248,Nabire,ID,-3.3667,135.4833,297.68,89,100,1.3,overcast clouds
249,Lagoa,PT,39.05,-27.9833,286.76,56,94,4.82,overcast clouds
250,San Quintin,MX,30.4833,-115.95,287.41,72,100,3.66,overcast clouds
251,Krasnyy Yar,RU,46.5331,48.3456,275.11,89,100,8.92,overcast clouds
252,Brae,GB,60.3964,-1.353,280.71,87,100,6.28,overcast clouds
253,Fare,PF,-16.7,-151.0167,300.56,70,5,4.86,clear sky
254,Port Elizabeth,ZA,-33.918,25.5701,295.31,94,75,2.57,broken clouds
255,Torbay,CA,47.6666,-52.7314,271.7,96,100,13.38,snow
256,Batagay,RU,67.6333,134.6333,225.91,99,50,0.88,scattered clouds
257,Nangomba,TZ,-10.9,38.5,295.41,92,100,1.79,overcast clouds
258,Tilichiki,RU,60.4667,166.1,251.36,93,75,4.13,broken clouds
259,Aksarka,RU,66.5606,67.7975,253.15,99,100,3.51,overcast clouds
260,Hirara,JP,24.8,125.2833,290.17,74,100,11.49,overcast clouds
261,Ikryanoye,RU,46.0932,47.7308,275.14,86,100,9.12,overcast clouds
262,Constitucion,CL,-35.3333,-72.4167,294.98,52,6,8.93,clear sky
263,Camana,PE,-16.6228,-72.7111,298.09,86,100,3.29,overcast clouds
264,Jaguaquara,BR,-13.5306,-39.9708,300.37,53,97,3.61,overcast clouds
265,Kemijarvi,FI,66.7131,27.4306,264.29,99,81,1.58,broken clouds
266,Tura,IN,25.5198,90.2201,287.06,38,0,1.25,clear sky
267,Santiago Del Estero,AR,-27.7951,-64.2615,311.53,33,0,2.47,clear sky
268,Berlevag,NO,70.8578,29.0864,278.15,87,100,10.8,moderate rain
269,Boguchany,RU,58.3814,97.4531,260.23,98,100,1.26,overcast clouds
270,Sivaki,RU,52.6333,126.75,244.27,100,23,1.21,few clouds
271,Ndola,ZM,-12.9587,28.6366,291.6,88,100,0.27,overcast clouds
272,Dudinka,RU,69.4058,86.1778,256.83,94,100,5.91,overcast clouds
273,Herzele,BE,50.8697,3.8931,281.44,74,9,2.06,clear sky
274,Abu Dhabi,AE,24.4667,54.3667,298.21,62,4,4.56,clear sky
275,Utica,US,43.1009,-75.2327,281.87,60,29,2.24,scattered clouds
276,Rockland,US,41.1668,-74.0496,285.69,36,0,0.45,clear sky
277,Rawson,AR,-43.3002,-65.1023,294.1,23,67,8.85,broken clouds
278,Ambilobe,MG,-13.2,49.05,296.43,93,53,1.1,broken clouds
279,Adrar,MR,20.5022,-10.0711,298.78,17,100,5.02,overcast clouds
280,Xuanzhou,CN,30.9525,118.7553,275.38,79,11,1.32,few clouds
281,Witu,KE,-2.3889,40.4382,299.24,91,4,3.75,clear sky
282,Soyo,AO,-6.1349,12.3689,299.88,82,73,4.63,broken clouds
283,Vila Velha,BR,-20.3297,-40.2925,303.12,76,20,7.2,few clouds
284,Russell,US,32.3502,-85.1999,295.6,28,0,5.66,clear sky
285,Walvis Bay,NA,-22.9575,14.5053,292.68,72,74,3.09,broken clouds
286,Tabou,CI,4.423,-7.3528,299.33,82,100,1.76,moderate rain
287,Takoradi,GH,4.8845,-1.7554,300.36,82,8,4.69,clear sky
288,Muros,ES,42.7762,-9.0603,286.39,67,82,2.55,broken clouds
